ADDRESS_DESCRIPTION,CITY,CLEARANCE_DATE,CLEARANCE_DETAIL_STATUS,CLEARANCE_STATUS,CMPD_PATROL_DIVISION,DATE_INCIDENT_BEGAN,DATE_INCIDENT_END,DATE_REPORTED,DIVISION_ID,GlobalID,HIGHEST_NIBRS_CODE,HIGHEST_NIBRS_DESCRIPTION,INCIDENT_REPORT_ID,LATITUDE_PUBLIC,LOCATION,LOCATION_TYPE_DESCRIPTION,LONGITUDE_PUBLIC,NPA,OBJECTID,PLACE_DETAIL_DESCRIPTION,PLACE_TYPE_DESCRIPTION,STATE,X_COORD_PUBLIC,YEAR,Y_COORD_PUBLIC,ZIP,geometry_type,coordinates_lon,coordinates_lat,coordinates_json
Location of occurrence,CHARLOTTE,,Open,Open,North,1649548800000,1649548800000,1649548800000,11,{72463C0C-844E-452F-8046-A58F7B28CE3A},290,Damage/Vandalism Of Property,20220410-2108-02,35.31145,11600 NORTHWOODS FOREST DR,Outdoors,-80.978124,156,3126,Private Residence,Residential,NC,1409917,2022,574158,28214,Point,-80.9781236039692,35.31145009600137,
Location of occurrence,CHARLOTTE,,Open,Open,University City,1577404800000,,1577491200000,14,{F658DF6B-0ACE-4778-991D-10755357643E},23H,All Other Thefts,20191228-1429-03,35.310233,10200 UNIVERSITY CITY BV,Outdoors,-80.715207,60,3127,Department Store,Retail,NC,1488330,2019,572256,,Point,-80.71520741949159,35.310232667072235,
Location of occurrence,CHARLOTTE,,Open,Open,Central,1649116800000,1649116800000,1649116800000,01,{66A7536C-9C88-4B6C-80C6-3ACA65A5BBA1},13B,Simple Assault,20220405-0010-01,35.227552,300 FIRST WARD CT,Indoors,-80.832126,476,3128,Apartment/Duplex Private Res,Residential,NC,1452900,2022,542793,,Point,-80.83212626213562,35.22755231197852,
Location of occurrence,CHARLOTTE,,Open,Open,Westover,1677456000000,,1677456000000,26,{B10BF1F3-1A79-44FF-8BF5-E096736DDAF4},23C,Shoplifting,20230227-0056-00,35.163145,400 TYVOLA RD,Indoors,-80.887071,212,3129,Gas Station,Retail,NC,1436049,2023,519664,,Point,-80.88707123538985,35.16314502152006,
Location where officer took report,CHARLOTTE,,Open,Open,North,1640131200000,1640649600000,1640649600000,11,{4C5538C9-B2B8-42B3-95D4-91649708C7DB},13C,Intimidation,20211228-2331-01,35.292164,500 LIGHTSPUN LN,Indoors,-80.876588,158,3130,Private Residence,Residential,NC,1440069,2021,566552,28216,Point,-80.87658844099924,35.29216391544897,
Location of occurrence,CHARLOTTE,,Open,Open,Steele Creek,1760918400000,1760918400000,1760918400000,21,{9FC2DA0D-53C5-4CB4-B37B-A45120A201E3},23H,All Other Thefts,20251020-2232-01,35.13132,8900 WINDSONG DR,Indoors,-80.900425,94,3131,Private Residence,Residential,NC,1431837,2025,508160,28273,Point,-80.90042499421101,35.13132045358223,
Location of occurrence,CHARLOTTE,,Open,Open,North Tryon,1701388800000,1701475200000,1701475200000,07,{36B6445E-5ED4-42D3-BE31-E4CDF01CD00C},240,Motor Vehicle Theft,20231202-1005-02,35.280184,1400 VENTURA WAY DR,Outdoors,-80.784291,291,3132,Apartment/Duplex Private Res,Residential,NC,1467527,2023,561685,,Point,-80.78429112830344,35.28018445909392,
Location of occurrence,CHARLOTTE,,Open,Open,Eastway,1563580800000,1563580800000,1563580800000,06,{B645D5A2-3730-4289-9F32-8B0425F53491},13A,Aggravated Assault,20190720-2108-01,35.203014,5400 ALBEMARLE RD,Outdoors,-80.756784,164,3133,Other - Open Area,Open Area,NC,1475238,2019,533457,28205,Point,-80.75678358622113,35.2030136455924,
Location of occurrence,CHARLOTTE,,Open,Open,North Tryon,1752969600000,,1752969600000,07,{3C1E6964-B546-4E68-912B-9DD88DE80B3F},220,Burglary/B&E,20250720-0637-00,35.237444,7100 BARRINGTON DR,Outdoors,-80.742989,312,3134,Apartment/Duplex Private Res,Residential,NC,1479578,2025,545913,28215,Point,-80.74298934539665,35.23744352546693,
Location of occurrence,CHARLOTTE,1756080000000,Cleared by Arrest,Cleared by Arrest,North Tryon,1755648000000,,1755648000000,07,{2BC2205B-EA2A-4BF9-ADB3-4AC0063CAD65},520,Weapon Law Violations,20250820-2238-01,35.2549,4000 N TRYON ST,Outdoors,-80.80076,21,3135,Street/Highway,Open Area,NC,1462446,2025,552573,,Point,-80.8007597704706,35.25489987027914,
Location of occurrence,CHARLOTTE,,Open,Open,North Tryon,1525132800000,1525219200000,1525219200000,07,{9FC047A5-5DFD-4831-A602-B50622D2E564},23F,Theft From Motor Vehicle,20180502-1058-01,35.252132,3600 BENARD AV,Outdoors,-80.804494,21,3136,Private Residence,Residential,NC,1461313,2018,551586,28206,Point,-80.80449429295368,35.25213185272488,
Location of occurrence,CHARLOTTE,,Open,Open,Steele Creek,1643414400000,1643414400000,1643414400000,21,{BAB0611D-E42F-486C-9842-B2A28AA4EDAD},23H,All Other Thefts,20220129-1638-01,35.138088,8300 LODGE SOUTH CR,Outdoors,-80.886133,71,3137,Apartment/Duplex Private Res,Residential,NC,1436156,2022,510541,,Point,-80.88613333797042,35.13808787119798,
Location of occurrence,CHARLOTTE,1637107200000,Victim Chose not to Prosecute,Exceptionally Cleared,South,1632700800000,,1632700800000,22,{486C3762-6D6E-4FDA-ADE6-59D60F07CB05},99Z,Affray,20210927-2314-00,35.062276,5100 PIPER STATION DR,Outdoors,-80.812733,171,3138,Hotel/Motel,Commercial Place,NC,1457592,2021,482546,28227,Point,-80.8127334699565,35.062276135398946,
Location of occurrence,CHARLOTTE,,Open,Open,Steele Creek,1739232000000,1739318400000,1739404800000,21,{F530EF22-4066-42BA-B2AA-E4C9041C2DED},290,Damage/Vandalism Of Property,20250213-1054-01,35.120567,2000 HARVEST LN,Indoors,-80.870278,12,3139,Apartment/Duplex Private Res,Residential,NC,1440775,2025,504076,,Point,-80.87027844217849,35.12056723513076,
Location of occurrence,CHARLOTTE,,Open,Open,Freedom,1704240000000,1704240000000,1704240000000,27,{6990C932-33DE-48E7-A206-05B512B29376},23F,Theft From Motor Vehicle,20240103-0508-00,35.258392,5900 SULLINS RD,Outdoors,-80.954721,333,3140,Private Residence,Residential,NC,1416517,2024,554713,28214,Point,-80.95472092063605,35.25839186962302,
Location of occurrence,CHARLOTTE,1485043200000,Cleared by Arrest,Cleared by Arrest,Westover,1485043200000,,1485043200000,26,{05E0E37A-A297-45AB-B76A-CAA8F7A81831},13A,Aggravated Assault,20170122-0055-01,35.208448,1600 BURNETTE AV,Outdoors,-80.921682,306,3141,Apartment/Duplex Private Res,Residential,NC,1426026,2017,536347,28208,Point,-80.92168202573517,35.20844794597071,
Location of occurrence,CHARLOTTE,,Open,Open,Eastway,1740700800000,1740873600000,1740873600000,06,{567C9EB6-0150-44BF-B270-C09C6D55ACE3},23G,Theft of Motor Vehicle Parts from Vehicle,20250302-2024-00,35.213015,1300 GREEN OAKS LN,Parking Lot,-80.796187,2,3142,Apartment/Duplex Private Res,Residential,NC,1463535,2025,537307,28205,Point,-80.79618729323734,35.21301509239896,
Location of occurrence,CHARLOTTE,,Open,Open,Eastway,1609027200000,1609113600000,1609113600000,06,{6139E6A0-1260-4A19-B90F-BB3B66EA7A35},23G,Theft of Motor Vehicle Parts from Vehicle,20201228-1911-01,35.201106,3700 E INDEPENDENCE BV,Outdoors,-80.777685,365,3143,Auto Parts/Service Center,Retail,NC,1468983,2020,532874,,Point,-80.77768450297779,35.20110605594831,
Location of occurrence,CHARLOTTE,,Open,Open,Central,1638662400000,1638662400000,1639353600000,01,{0680C981-DCE4-4F92-B91C-F33655797EA3},26B,Credit Card/Teller Fraud,20211213-1151-01,35.213628,1000 METROPOLITAN AV,Indoors,-80.835195,3,3144,Other - Retail,Retail,NC,1451890,2021,537743,28204,Point,-80.83519517322704,35.213627678216895,
Location of occurrence,CHARLOTTE,1699056000000,Located (Missing Persons and Runaways only),Exceptionally Cleared,Independence,1698796800000,1698883200000,1698883200000,17,{FF652C22-7233-449B-AD70-2924F5681C47},800,Missing Person,20231102-1511-02,35.156736,7700 KREFELD GLEN DR,Outdoors,-80.736037,272,3145,Apartment/Duplex Private Res,Residential,NC,1481140,2023,516508,,Point,-80.73603689634118,35.156735560084535,
Location where officer took report,CHARLOTTE,,Open,Open,Steele Creek,1734307200000,1734307200000,1747872000000,21,{81D462AE-23EE-4BAE-820B-8C6978C7AFEF},899,Other Unlisted Non-Criminal,20250522-1034-01,35.115159,11200 S TRYON ST,Indoors,-80.962275,78,3146,Grocery Store/Supermarket,Retail,NC,1413232,2025,502639,28273,Point,-80.96227514616166,35.11515869456712,
Location of occurrence,CHARLOTTE,1759017600000,Cleared by Arrest,Cleared by Arrest,Freedom,1758931200000,,1758931200000,27,{0FE357CC-4DF6-4B6E-90FD-D084422476C4},120,Robbery,20250927-2054-03,35.224284,3300 WILKINSON BV,Parking Lot,-80.891097,124,3147,Restaurant/Diner/Coffee Shop,Commercial Place,NC,1435270,2025,541934,,Point,-80.8910966818901,35.224284111179585,
Location of occurrence,CHARLOTTE,1663459200000,Victim Chose not to Prosecute,Exceptionally Cleared,South,1648425600000,,1648425600000,22,{2FA8E7EC-4903-4F79-8C96-D56BA9BFF874},13C,Intimidation,20220328-1904-01,35.112795,8800 PARK RD,Indoors,-80.857291,74,3148,Private Residence,Residential,NC,1444605,2022,501175,,Point,-80.85729084611835,35.1127950987392,
Location of occurrence,CHARLOTTE,,Open,Open,Westover,1745020800000,1745107200000,1745107200000,26,{13F2E070-4834-4EA5-B669-D669B771BEEF},23F,Theft From Motor Vehicle,20250420-1503-02,35.1837,200 VERBENA ST,Outdoors,-80.880263,290,3149,Apartment/Duplex Private Res,Residential,NC,1438225,2025,527105,,Point,-80.88026328054814,35.18370035607081,
Location of occurrence,CHARLOTTE,,Open,Open,Freedom,1683244800000,1683244800000,1683244800000,27,{5EF015F2-D187-4F85-BFC2-F76A8742FD4A},290,Damage/Vandalism Of Property,20230505-0227-03,35.258187,300 BRADFORD DR,Outdoors,-80.897111,385,3150,Private Residence,Residential,NC,1433710,2023,554305,28208,Point,-80.8971109306306,35.25818747944701,
Location where officer took report,CHARLOTTE,,Open,Open,North,1743638400000,1743724800000,1743724800000,11,{28D7812D-A64C-4B00-B265-2605FC6242D9},220,Burglary/B&E,20250404-1015-00,35.32756,3000 FINCHBOROUGH CT,Indoors,-80.8072,279,3151,Construction Site,Open Area,NC,1461005,2025,579048,28269,Point,-80.80720032611217,35.327559660910886,
Location of occurrence,CHARLOTTE,1509148800000,Cleared by Arrest,Cleared by Arrest,Eastway,1508889600000,,1508889600000,06,{5B7568F4-E5D2-4231-A7BC-EC5D82A72179},35B,Drug Equipment Violations,20171025-0111-01,35.212138,4800 CENTRAL AV,Outdoors,-80.762753,389,3152,Other - Commercial Place,Commercial Place,NC,1473514,2017,536809,28205,Point,-80.76275317964463,35.21213844473302,
Location of occurrence,CHARLOTTE,,Open,Open,Central,1512259200000,,1512259200000,01,{147746FB-DB75-4CA4-BF66-5227A7AC8BAF},23F,Theft From Motor Vehicle,20171203-0103-04,35.235346,600 W 9TH ST,Outdoors,-80.842608,476,3153,Street/Highway,Open Area,NC,1449823,2017,545687,28202,Point,-80.84260801478835,35.23534622423799,
Location of occurrence,CHARLOTTE,,Open,Open,Steele Creek,1680739200000,1680825600000,1681516800000,21,{09B8F444-417B-4084-942C-AB30376295A1},899,Other Unlisted Non-Criminal,20230415-1319-02,35.107469,9500 SOUTH BV,Outdoors,-80.881449,116,3154,Light Rail/Trolley,Commercial Place,NC,1437345,2023,499373,28273,Point,-80.8814489655382,35.107468966889215,
Location of occurrence,CHARLOTTE,,Open,Open,University City,1609718400000,1609718400000,1609718400000,14,{FA2DD6D1-0AE7-468E-8738-DA8323343FB7},23D,Theft From Building,20210104-1116-00,35.335295,11400 N TRYON ST,Indoors,-80.715994,155,3155,Other - Retail,Retail,NC,1488253,2021,581380,28262,Point,-80.71599413323675,35.335294585309924,
Location of occurrence,CHARLOTTE,,Open,Open,University City,1662681600000,1662940800000,1662940800000,14,{E7028434-2CCA-4701-8134-6651BBD0AA76},290,Damage/Vandalism Of Property,20220912-2240-01,35.284155,7600 ROCKLAND DR,Indoors,-80.749087,219,3156,Private Residence,Residential,NC,1478057,2022,562943,,Point,-80.7490872535903,35.2841553295619,
Location of occurrence,CHARLOTTE,1697673600000,Unfounded,Unfounded,Westover,1691366400000,,1695427200000,26,{5DACA7BA-0446-411E-87E7-8019307CD0B5},240,Motor Vehicle Theft,20230923-1428-00,35.145479,6600 CENTRAL PACIFIC AV,Parking Lot,-80.863707,105,3157,Community Center,Public/Non-Residential,NC,1442910,2023,513104,28217,Point,-80.86370659032711,35.145479462132734,
Location of occurrence,CHARLOTTE,1580428800000,Victim Chose not to Prosecute,Exceptionally Cleared,North,1580256000000,1580256000000,1580256000000,11,{9810C49A-49E6-49E4-BE24-420803BEA213},13B,Simple Assault,20200129-2310-01,35.316484,6000 QUEENSBOROUGH CT,Indoors,-80.856878,260,3158,Private Residence,Residential,NC,1446115,2020,575291,28216,Point,-80.85687802697429,35.31648360114325,
Location of occurrence,CHARLOTTE,,Open,Open,Steele Creek,1551398400000,1551484800000,1553904000000,21,{54D40AE3-42F5-4378-90F6-79B510970A18},26B,Credit Card/Teller Fraud,20190330-1805-03,35.129636,9500 S TRYON ST,Indoors,-80.941746,285,3159,Gas Station,Retail,NC,1419473,2019,507786,28273,Point,-80.94174592559783,35.12963560286471,
Location of occurrence,CHARLOTTE,1607299200000,Cleared by Arrest,Cleared by Arrest,South,1607126400000,,1607126400000,22,{7CB327E3-AC5C-4678-B182-13E296902B52},35B,Drug Equipment Violations,20201205-2032-00,35.062509,7700 REA RD,Outdoors,-80.8146,171,3160,Street/Highway,Open Area,NC,1457035,2020,482641,,Point,-80.81460035809751,35.06250916606397,
Location of occurrence,CHARLOTTE,1520899200000,Cleared by Arrest,Cleared by Arrest,Hickory Grove,1520899200000,1520899200000,1520899200000,12,{576EC112-76C8-404E-83F3-EE28D9429FDE},23C,Shoplifting,20180313-1555-00,35.22488,7000 E W T HARRIS BV,Indoors,-80.725714,166,3161,Department Store,Retail,NC,1484656,2018,541251,28215,Point,-80.72571422473868,35.22487961095405,
Location of occurrence,CHARLOTTE,1521590400000,Cleared by Arrest,Cleared by Arrest,Central,1513468800000,1513468800000,1513555200000,01,{E47C5F22-DB5E-4810-B21E-BD2E0B2B09E1},23C,Shoplifting,20171218-1558-02,35.214018,900 METROPOLITAN AV,Indoors,-80.83504,476,3162,Department Store,Retail,NC,1451939,2017,537884,28204,Point,-80.83503987276255,35.2140175230444,
Location of occurrence,CHARLOTTE,1668729600000,Unfounded,Unfounded,North,1667952000000,1667952000000,1667952000000,11,{D36BE39E-FF69-4723-83B5-BDE764C3FF50},290,Damage/Vandalism Of Property,20221109-1825-00,35.328766,5900 COUGAR LN,Outdoors,-80.805172,279,3163,Private Residence,Residential,NC,1461618,2022,579476,28269,Point,-80.80517153951274,35.328766091745656,
Location of occurrence,CHARLOTTE,1670889600000,Cleared by Arrest,Cleared by Arrest,North,1670198400000,,1670198400000,11,{5F1C6F80-52A8-4A3A-B31A-AB70ED0D873A},13B,Simple Assault,20221205-0833-01,35.297957,5800 MILHAVEN LN,Indoors,-80.84476,125,3164,School - Primary or Secondary,Public/Non-Residential,NC,1449604,2022,568482,28269,Point,-80.84475984179909,35.2979569528321,
Location of occurrence,CHARLOTTE,1486425600000,Cleared by Other Means,Exceptionally Cleared,Central,1485561600000,,1485820800000,01,{43EE123E-64B3-4FCE-B9B5-846373693426},899,Other Unlisted Non-Criminal,20170131-1632-00,35.227841,300 N COLLEGE ST,Outdoors,-80.839745,476,3165,Other - Open Area,Open Area,NC,1450627,2017,542940,28202,Point,-80.83974545837991,35.22784065139649,
Location of occurrence,CHARLOTTE,1568160000000,Cleared by Arrest,Cleared by Arrest,South,1559001600000,1559001600000,1559001600000,22,{5FFE265A-7A87-433E-87C6-3E24E34CDC0B},220,Burglary/B&E,20190528-1127-00,35.052173,15000 JOHN J DELANEY DR,Indoors,-80.849765,356,3166,Grocery Store/Supermarket,Retail,NC,1446444,2019,479074,,Point,-80.84976548032273,35.05217260268852,
Location of occurrence,CHARLOTTE,1568678400000,Cleared by Other Means,Exceptionally Cleared,University City,1553040000000,1553040000000,1553040000000,14,{3BD89041-8A69-4CCD-8286-604D1E28FF7E},23H,All Other Thefts,20190320-0954-00,35.292651,7700 N TRYON ST,Indoors,-80.756014,331,3167,Department Store,Retail,NC,1476045,2019,566071,,Point,-80.75601368254101,35.29265101793199,
Location where officer took report,CHARLOTTE,,Open,Open,Steele Creek,1483228800000,1546214400000,1655424000000,21,{9C77199B-F725-45FD-9C80-F3A05CAC5AE9},26F,Identity Theft,20220617-1645-00,35.113392,13600 CHESTER LN,Indoors,-80.971872,81,3168,Private Residence,Residential,NC,1410350,2022,502053,28273,Point,-80.97187170774161,35.11339194584342,
Location of occurrence,CHARLOTTE,1583193600000,Cleared by Arrest,Cleared by Arrest,North,1583193600000,1583193600000,1583193600000,11,{AAEE3875-C5E1-47C7-97A2-D0774C862540},90Z,All Other Offenses,20200303-1442-00,35.275082,4100 STATESVILLE RD,Outdoors,-80.835676,160,3169,Street/Highway,Open Area,NC,1452160,2020,560108,28269,Point,-80.83567591671063,35.27508233517977,
Location of occurrence,CHARLOTTE,,Open,Open,Steele Creek,1689638400000,1689638400000,1689638400000,21,{23EA0986-7A43-489E-A69B-3BCF945996C7},90Z,All Other Offenses,20230718-1938-04,35.101102,13800 WALKERS CREEK DR,Indoors,-80.975056,97,3170,Private Residence,Residential,NC,1409309,2023,497600,28273,Point,-80.97505580061134,35.10110192899569,
Location of occurrence,CHARLOTTE,1487289600000,Cleared by Arrest,Cleared by Arrest,Eastway,1455494400000,,1487116800000,06,{56EE42F3-0F00-4EC7-8E33-57DCDA85297E},23D,Theft From Building,20170215-0911-03,35.215486,3800 CENTRAL AV,Indoors,-80.779401,164,3171,Gas Station,Retail,NC,1468564,2017,538116,28205,Point,-80.77940141133429,35.215486441902065,
Location where officer took report,CHARLOTTE,,Open,Open,Central,1627516800000,1627516800000,1627603200000,01,{DE1EBCF7-3001-4D9A-AFC3-85D005FDD7F5},899,Other Unlisted Non-Criminal,20210730-1506-02,35.222915,600 E TRADE ST,Indoors,-80.83802,476,3172,Other - Public/Non-Residential,Public/Non-Residential,NC,1451109,2021,541138,,Point,-80.83801998223478,35.22291473134995,
Location of occurrence,CHARLOTTE,,Open,Open,Independence,1661040000000,1661040000000,1661040000000,17,{B8F9948C-FB13-4415-8693-67554C78990D},23F,Theft From Motor Vehicle,20220821-0344-00,35.152822,2500 CROSS POINT CR,Parking Lot,-80.727783,107,3173,Apartment/Duplex Private Res,Residential,NC,1483582,2022,515041,28212,Point,-80.72778252022923,35.15282235767729,
Location of occurrence,CHARLOTTE,,Open,Open,North Tryon,1681776000000,1681776000000,1681862400000,07,{81B35F54-B3F7-4CD2-BCE7-90DF6421FF6D},23F,Theft From Motor Vehicle,20230419-0919-02,35.238314,2600 PURSER DR,Outdoors,-80.767302,128,3174,Private Residence,Residential,NC,1472325,2023,546358,,Point,-80.76730241432341,35.23831371229497,
Location of occurrence,CHARLOTTE,,Open,Open,University City,1534982400000,,1534982400000,14,{DAE300EE-EF2F-406E-9143-F18AB99198AF},23C,Shoplifting,20180823-1603-04,35.295367,5700 UNIVERSITY POINTE BV,Indoors,-80.755171,331,3175,Other - Retail,Retail,NC,1476314,2018,567055,28262,Point,-80.75517063083124,35.2953673415517,
Location of occurrence,CHARLOTTE,1717545600000,Cleared by Other Means,Exceptionally Cleared,Hickory Grove,1717545600000,1717545600000,1717545600000,12,{8113AFB6-2A16-4C21-ACA1-7038F97D2F95},899,Other Unlisted Non-Criminal,20240605-1016-01,35.21159,9000 ALBEMARLE RD,Outdoors,-80.691647,146,3176,Street/Highway,Open Area,NC,1494746,2024,536240,,Point,-80.69164688509751,35.211590235597114,
Location of occurrence,CHARLOTTE,1519257600000,Cleared by Arrest,Cleared by Arrest,North Tryon,1519257600000,1519257600000,1519257600000,07,{07E806C7-1B42-4EB8-B4D5-6255093A7B22},35A,Drug/Narcotic Violations,20180222-2143-01,35.248019,800 PLAZA WALK DR,Outdoors,-80.777694,40,3177,Street/Highway,Open Area,NC,1469286,2018,549945,28215,Point,-80.7776936542788,35.24801891828276,
Location of occurrence,CHARLOTTE,,Open,Open,North,1488067200000,1488067200000,1488067200000,11,{AEABBB67-65FE-4122-844E-DCD60FF7CA5B},23H,All Other Thefts,20170226-1656-00,35.346719,9200 ROTHERHAM LN,Outdoors,-80.868248,191,3178,Other - Open Area,Open Area,NC,1442931,2017,586357,28216,Point,-80.8682478532951,35.346719268802005,
Location of occurrence,CHARLOTTE,,Open,Open,South,1715299200000,1715299200000,1715558400000,22,{FD459B7D-69EB-4D15-A372-1DC7EC498986},290,Damage/Vandalism Of Property,20240513-1413-03,35.028078,16400 REDSTONE MOUNTAIN LN,Parking Lot,-80.854475,75,3179,Private Residence,Residential,NC,1444871,2024,470333,28277,Point,-80.85447501082545,35.0280781908367,
Location of occurrence,CHARLOTTE,1580860800000,Cleared by Arrest,Cleared by Arrest,Freedom,1580860800000,,1580860800000,27,{16ADF861-0A1E-4E1D-9AC3-C9D81E0BA51F},35B,Drug Equipment Violations,20200205-1207-00,35.263483,9100 SPYGLASS PL,Indoors,-80.958877,34,3180,Apartment/Duplex Private Res,Residential,NC,1415313,2020,556590,28214,Point,-80.9588774506757,35.26348300746064,
Location of occurrence,CHARLOTTE,,Open,Open,Steele Creek,1672963200000,,1673308800000,21,{24CB0F5F-9701-4E9C-AD62-BD4888C8B45E},899,Other Unlisted Non-Criminal,20230110-1604-04,35.104188,14100 RIVERGATE PY,Indoors,-80.985488,289,3181,Restaurant/Diner/Coffee Shop,Commercial Place,NC,1406212,2023,498785,28273,Point,-80.98548752483133,35.10418758266332,
Location of occurrence,CHARLOTTE,1696377600000,Cleared by Arrest,Cleared by Arrest,South,1687910400000,1687996800000,1687996800000,22,{12DD0F3E-EAD8-431F-A42A-CE8CC47CFF6A},23F,Theft From Motor Vehicle,20230629-1220-01,35.051214,7900 CAMELLIA LN,Parking Lot,-80.810743,20,3182,Apartment/Duplex Private Res,Residential,NC,1458114,2023,478510,28277,Point,-80.8107433197189,35.05121431596927,
Location of occurrence,CHARLOTTE,1592870400000,Victim Chose not to Prosecute,Exceptionally Cleared,Steele Creek,1588636800000,,1589155200000,21,{FF1951DE-B4A4-4750-B128-474A5448E322},90Z,All Other Offenses,20200511-1154-00,35.140406,7500 KINGS RIDGE DR,Outdoors,-80.877565,116,3183,Private Residence,Residential,NC,1438733,2020,511336,,Point,-80.87756528336185,35.14040612569853,
Location where officer took report,CHARLOTTE,1741046400000,Cleared by Other Means,Exceptionally Cleared,Providence,1740873600000,1740873600000,1740873600000,16,{32874564-F43A-4449-8EB8-048D227BE4D7},801,Suicide,20250302-1541-01,35.181485,1800 PINEWOOD CR,Outdoors,-80.820105,208,3184,Street/Highway,Open Area,NC,1456182,2025,525964,,Point,-80.82010480569336,35.181485332374955,
Location of occurrence,CHARLOTTE,1519430400000,Cleared by Other Means,Exceptionally Cleared,Providence,1519430400000,,1519430400000,16,{1F029FE2-BF2E-430B-ABB0-56DF848797EE},800,Missing Person,20180224-1018-00,35.199679,400 ALPHA ST,Indoors,-80.804608,370,3185,Private Residence,Residential,NC,1460932,2018,532500,,Point,-80.80460816739958,35.199679469786744,
Location of occurrence,CHARLOTTE,,Open,Open,University City,1538956800000,,1538956800000,14,{959DFE0C-71A1-4CBB-939C-0A74C81C4CD5},23C,Shoplifting,20181008-1250-00,35.29727,8100 IKEA BV,Indoors,-80.761366,331,3186,Department Store,Retail,NC,1474478,2018,567780,28213,Point,-80.76136593457433,35.297269720266,
Location of occurrence,CHARLOTTE,,Open,Open,Westover,1517011200000,1517097600000,1517097600000,26,{0DD1C4F3-4678-4D5A-82FD-DDA123E784C9},240,Motor Vehicle Theft,20180128-1443-02,35.209582,3100 NOBLES AV,Parking Lot,-80.913917,114,3187,Public Housing Private,Residential,NC,1428353,2018,536715,,Point,-80.91391684647309,35.209582417038106,
Location of occurrence,CHARLOTTE,,Open,Open,Metro,1535673600000,1535760000000,1535760000000,02,{6015E3B6-E19D-4F8A-B6B6-A7D9B4767FA6},23H,All Other Thefts,20180901-1133-02,35.262859,2800 BURBANK DR,Indoors,-80.864219,70,3188,Private Residence,Residential,NC,1443559,2018,555819,28216,Point,-80.86421915730686,35.262859331894155,
Location of occurrence,CHARLOTTE,1745280000000,Located (Missing Persons and Runaways only),Exceptionally Cleared,Metro,1744675200000,1744761600000,1744761600000,02,{5F8DA44A-6DA3-4AB5-9C4A-BDC1C55D2477},800,Missing Person,20250416-0059-00,35.228562,3000 COLUMBUS CR,Indoors,-80.880415,361,3189,Other - Residential,Residential,NC,1438489,2025,543430,,Point,-80.88041476824193,35.228561889214646,
Location of occurrence,CHARLOTTE,1574812800000,Victim Chose not to Prosecute,Exceptionally Cleared,Westover,1573344000000,,1573344000000,26,{75C11ECA-29D5-440C-92D5-51C649AFE8ED},290,Damage/Vandalism Of Property,20191110-0300-01,35.180969,4800 WALLINGFORD ST,Outdoors,-80.883591,290,3190,Hotel/Motel,Commercial Place,NC,1437212,2019,526130,,Point,-80.88359107030053,35.18096907834,
Location of occurrence,CHARLOTTE,,Open,Open,North Tryon,1688428800000,,1688428800000,07,{56AE7454-0FD3-4F87-AA25-8AD3B386557A},90Z,All Other Offenses,20230704-2336-02,35.278927,1200 W SUGAR CREEK RD,Outdoors,-80.79353,371,3191,Street/Highway,Open Area,NC,1464762,2023,561277,,Point,-80.793529799468,35.27892670276232,
Location of occurrence,CHARLOTTE,,Open,Open,Metro,1662508800000,1662508800000,1662508800000,02,{25A7260F-7A57-49F6-8F8C-4FF97046C68A},899,Other Unlisted Non-Criminal,20220907-1334-00,35.249335,1000 DAVENPORT ST,Indoors,-80.891196,6,3192,Private Residence,Residential,NC,1435414,2022,551050,,Point,-80.89119607972827,35.24933481530131,
Location of occurrence,CHARLOTTE,,Open,Open,Freedom,1633305600000,1633305600000,1633910400000,27,{C6D9C1DF-676A-4775-9370-199B41D17D4C},240,Motor Vehicle Theft,20211011-1321-01,35.237562,6500 RACKHAM DR,Parking Lot,-80.947662,286,3193,Other - Commercial Place,Commercial Place,NC,1418475,2021,547092,28214,Point,-80.94766227955917,35.23756173648103,
Location of occurrence,CHARLOTTE,,Open,Open,Westover,1764806400000,,1764806400000,26,{38A5F9D3-4B90-454A-B79A-FF74AE611A4A},26A,False Pretenses/Swindle,20251204-0935-00,35.192184,3600 SOUTH BV,Indoors,-80.874396,24,3194,Other - Retail,Retail,NC,1440036,2025,530159,,Point,-80.87439628059836,35.19218438434116,
Location of occurrence,CHARLOTTE,,Open,Open,Westover,1568246400000,,1568246400000,26,{8A32AF8B-0F91-4684-94F6-D84AD65A8510},899,Other Unlisted Non-Criminal,20190912-0837-02,35.199885,300 FOSTER AV,Parking Lot,-80.872615,30,3195,Office,Commercial Place,NC,1440621,2019,532951,,Point,-80.87261482099461,35.19988488074988,
Location of occurrence,CHARLOTTE,,Open,Open,Steele Creek,1681430400000,1681430400000,1681430400000,21,{F729E322-CF10-4701-84CF-112705C42BD8},23H,All Other Thefts,20230414-1735-05,35.119759,10600 TEXLAND BV,Outdoors,-80.917649,285,3196,Other - Commercial Place,Commercial Place,NC,1426607,2023,504052,28173,Point,-80.91764887095422,35.1197586146184,
